submission_id,problem_id,outcome,classification,stderr_tail
s986090220,p03254,FAILED,OTHER,"\gcc\mingw32\6.3.0\include\c++\iostream:39:0,
                 from D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03254\C++\s986090220.cpp:1:
c:\mingw\lib\gcc\mingw32\6.3.0\include\c++\ostream:590:5: note:   'std::endl'
     endl(basic_ostream<_CharT, _Traits>& __os)
     ^~~~
"
s877667800,p00429,COMPILED_CLEAN,,
s743005752,p02730,FAILED,OTHER,"er-defect-prediction\data\processed\sources\p02730\C++\s743005752.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02730\C++\s743005752.cpp:11:11: error: 'sub_a' was not declared in this scope
   reverse(sub_a.begin(), sub_s.end());
           ^~~~~
"
s002849607,p02670,FAILED,OTHER,"ct-prediction\data\processed\sources\p02670\C++\s002849607.cpp: In function 'void dfs(int, int)':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02670\C++\s002849607.cpp:313:7: error: 'sz' was not declared in this scope
   if (sz >= 0 && sx < N && sy >= 0 && sy < N) {
       ^~
"
s369071974,p02626,FAILED,OTHER,"b\transformer-defect-prediction\data\processed\sources\p02626\C++\s369071974.cpp:38:2: error: return-statement with a value, in function returning 'void' [-fpermissive]
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02626\C++\s369071974.cpp:38:2: error: expected ';' before 'if'
"
s669250357,p03911,FAILED,OTHER,"3.0\include\c++\iostream:39,
                 from D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03911\C++\s669250357.cpp:1:
c:\mingw\lib\gcc\mingw32\6.3.0\include\c++\type_traits:1482:12: note:                 template<class> struct std::rank
     struct rank
            ^~~~
"
s564068751,p02595,FAILED,OTHER,"fect-prediction\data\processed\sources\p02595\C++\s564068751.cpp:21:23: error: expected ';' before '{' token
   for(int i; i<n;i++)a{
                       ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02595\C++\s564068751.cpp:28:1: error: expected '}' at end of input
 }
 ^
"
s633010876,p03680,FAILED,OTHER,"Dev\Github\transformer-defect-prediction\data\processed\sources\p03680\C++\s633010876.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03680\C++\s633010876.cpp:20:7: error: 'now' was not declared in this scope
       now = pushed.at(n-1);
       ^~~
"
s355966270,p02670,COMPILED_CLEAN,,
s489320218,p02861,FAILED,OTHER,"89320218.cpp:30:5: error: 'fact' was not declared in this scope
     fact=fact*i;
     ^~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02861\C++\s489320218.cpp:31:26: error: 'fact' was not declared in this scope
   double ans=sum/(double)fact;
                          ^~~~
"
s206849027,p00496,FAILED,OTHER,"ces\p00496\C++\s206849027.cpp:12:10: error: 't' was not declared in this scope
     if(M[t] > newM){
          ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00496\C++\s206849027.cpp:12:15: error: 'newM' was not declared in this scope
     if(M[t] > newM){
               ^~~~
"
s760560464,p01413,FAILED,OTHER,"
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p01413\C++\s760560464.cpp:168:59: note:   mismatched types 'std::initializer_list<_Tp>' and 'long long int'
    shop[i][num] = max(shop[i][num], max(0ll, item[num].s-p));
                                                           ^
"
s399827897,p01340,COMPILED_CLEAN,,
s905792550,p01638,COMPILED_CLEAN,,"b\gcc\mingw32\6.3.0\include\c++\mingw32\bits\stdc++.h:41,
                 from D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p01638\C++\s905792550.cpp:1:
c:\mingw\include\math.h:75:0: note: this is the location of the previous definition
 #define M_PI  3.14159265358979323846
 
"
s084359741,p03285,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03285\C++\s084359741.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03285\C++\s084359741.cpp:23:10: error: expected '}' at end of input
  return 0;
          ^
"
s737143362,p02679,COMPILED_CLEAN,,
s858158787,p00468,FAILED,OTHER,"\Dev\Github\transformer-defect-prediction\data\processed\sources\p00468\C++\s858158787.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00468\C++\s858158787.cpp:5:11: error: expected unqualified-id before ',' token
 int n,k,i,,c,x[501];
           ^
"
s394722299,p03177,FAILED,OTHER,"
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03177\C++\s394722299.cpp:37:8: note: candidate: constexpr matrix::matrix(matrix&&)
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03177\C++\s394722299.cpp:37:8: note:   candidate expects 1 argument, 0 provided
"
s205521692,p00811,COMPILED_CLEAN,,
s294730377,p03724,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03724\C++\s294730377.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03724\C++\s294730377.cpp:8:10: error: 'read' was not declared in this scope
   c[read()]^=1;
          ^
"
s143446320,p03986,FAILED,OTHER,"\transformer-defect-prediction\data\processed\sources\p03986\C++\s143446320.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03986\C++\s143446320.cpp:13:9: error: expected primary-expression before 'else'
         else if(sum2) sum1++;
         ^~~~
"
s529512006,p03220,FAILED,OTHER,"ude\c++\cstdlib:180:3: note: candidate: long long int std::abs(long long int)
   abs(long long __x) { return __builtin_llabs (__x); }
   ^~~
c:\mingw\lib\gcc\mingw32\6.3.0\include\c++\cstdlib:172:3: note: candidate: long int std::abs(long int)
   abs(long __i) { return __builtin_labs(__i); }
   ^~~
"
s973969153,p00915,FAILED,OTHER,"rces\p00915\C++\s973969153.cpp:13:7: error: 'i' was not declared in this scope
   rep(i,n)cin>>d[i]>>x[i];
       ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00915\C++\s973969153.cpp:13:10: error: 'rep' was not declared in this scope
   rep(i,n)cin>>d[i]>>x[i];
          ^
"
s077048229,p03182,FAILED,OTHER,"is scope
   dat[k] = g(dat[k],p(lazy[k],len));
                     ~^~~~~~~~~~~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03182\C++\s077048229.cpp:58:13: error: 'g' was not declared in this scope
   dat[k] = g(dat[k],p(lazy[k],len));
            ~^~~~~~~~~~~~~~~~~~~~~~~
"
s858831836,p03059,FAILED,OTHER,"ources\p03059\C++\s858831836.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03059\C++\s858831836.cpp:5:26: error: invalid operands of types 'double' and 'double' to binary 'operator%'
   int n = ((t+0.5-(t+0.5)%a)/a)*b
                   ~~~~~~~^~
"
s760610113,p03723,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03723\C++\s760610113.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03723\C++\s760610113.cpp:75:5: error: 'x' was not declared in this scope
     x = nc;
     ^
"
s747314486,p01772,COMPILED_CLEAN,,
s679015821,p03284,FAILED,OTHER,"2\6.3.0\include\c++\mingw32\bits\stdc++.h:52,
                 from D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03284\C++\s679015821.cpp:1:
c:\mingw\lib\gcc\mingw32\6.3.0\include\c++\ostream:590:5: note:   'std::endl'
     endl(basic_ostream<_CharT, _Traits>& __os)
     ^~~~
"
s702703047,p02493,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02493\C++\s702703047.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02493\C++\s702703047.cpp:5:16: error: 'n' was not declared in this scope
    scanf(""/d"",&n);
                ^
"
s720051996,p00483,FAILED,OTHER," - sums[i - 1][j - 1][k] + nums[i][j][k];
                                                                                      ^~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00483\C++\s720051996.cpp:33:2: error: 'nums' was not declared in this scope
  nums.clear();
  ^~~~
"
s024874224,p01144,COMPILED_CLEAN,,
s830777336,p03472,FAILED,OTHER," std::pair<long long int, long long int>]
       operator()(const _Tp& __x, const _Tp& __y) const
       ^~~~~~~~
c:\mingw\lib\gcc\mingw32\6.3.0\include\c++\bits\stl_function.h:375:7: note:   no known conversion for argument 1 from 'long long int' to 'const std::pair<long long int, long long int>&'
"
s273344152,p03023,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03023\C++\s273344152.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03023\C++\s273344152.cpp:23:5: error: expected ',' or ';' before 'cout'
     cout << ans << endl;
     ^~~~
"
s269900901,p00685,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00685\C++\s269900901.cpp:1:20: fatal error: stdafx.h: No such file or directory
 #include ""stdafx.h""
                    ^
compilation terminated.
"
s490203601,p02663,FAILED,OTHER,"\Github\transformer-defect-prediction\data\processed\sources\p02663\C++\s490203601.cpp:8:42: error: invalid operands of types 'int' and '<unresolved overloaded function type>' to binary 'operator<<'
     cout << (d2-k-d1 <= 0) ? 0 ! d2-k-d1 << endl;
                                ~~~~~~~~~~^~~~~~~
"
s927590681,p01378,FAILED,OTHER,"~^~~~
c:\mingw\lib\gcc\mingw32\6.3.0\include\c++\bits\basic_string.h:1253:19: error: '_M_replace' was not declared in this scope
  return _M_replace(size_type(0), this->size(), __s,
         ~~~~~~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
      traits_type::length(__s));
      ~~~~~~~~~~~~~~~~~~~~~~~~~
"
s066234327,p00323,COMPILED_CLEAN,,
s211856142,p00247,FAILED,OTHER,"arrowing]
 uc dx[] = {1,0,-1,0};
                    ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00247\C++\s211856142.cpp:34:20: error: narrowing conversion of '-1' from 'int' to 'uc {aka unsigned char}' inside { } [-Wnarrowing]
 uc dy[] = {0,-1,0,1};
                    ^
"
s629969077,p01488,COMPILED_CLEAN,,
s761126819,p01318,FAILED,OTHER,"lib\gcc\mingw32\6.3.0\include\c++\complex:45,
                 from D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p01318\C++\s761126819.cpp:2:
c:\mingw\lib\gcc\mingw32\6.3.0\include\c++\ostream:590:5: note:   'std::endl'
     endl(basic_ostream<_CharT, _Traits>& __os)
     ^~~~
"
s186872032,p02775,COMPILED_CLEAN,,
s187675723,p03104,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03104\C++\s187675723.cpp:3:11: error: '::main' must return 'int'
 void main()
           ^
"
s769497894,p02494,FAILED,OTHER,"data\processed\sources\p02494\C++\s769497894.cpp:1:1: error: 'import' does not name a type
 import java.util.Scanner;
 ^~~~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02494\C++\s769497894.cpp:2:1: error: expected unqualified-id before 'public'
 public class Main {
 ^~~~~~
"
s276417740,p00344,FAILED,OTHER,"r-defect-prediction\data\processed\sources\p00344\C++\s276417740.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00344\C++\s276417740.cpp:25:26: error: 'memset' was not declared in this scope
    memset(c, 0, sizeof(c));
                          ^
"
s008466363,p03760,FAILED,OTHER,"-defect-prediction\data\processed\sources\p03760\C++\s008466363.cpp:1:3: error: invalid preprocessing directive #-
 # -*- coding: utf-8 -*-
   ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03760\C++\s008466363.cpp:3:1: error: 'import' does not name a type
 import sys
 ^~~~~~
"
s963373881,p02370,COMPILED_CLEAN,,
s197938713,p00477,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00477\C++\s197938713.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00477\C++\s197938713.cpp:17:9: error: expected primary-expression before '>' token
 while(e=>60){
         ^
"
s571842568,p03767,FAILED,OTHER,"rocessed\sources\p03767\C++\s571842568.cpp:35:7: error: 'ans' was not declared in this scope
       ans+=v[i*3];
       ^~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03767\C++\s571842568.cpp:38:9: error: 'ans' was not declared in this scope
   cout<<ans<<endl;
         ^~~
"
s865667687,p02390,FAILED,OTHER,"ransformer-defect-prediction\data\processed\sources\p02390\C++\s865667687.cpp:14:1: error: expected unqualified-id before 'return'
 return 0;
 ^~~~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02390\C++\s865667687.cpp:15:1: error: expected declaration before '}' token
 }
 ^
"
s082227305,p02290,FAILED,OTHER,"c\mingw32\6.3.0\include\c++\math.h:36,
                 from D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02290\C++\s082227305.cpp:3:
c:\mingw\include\math.h:273:24: note: previous declaration 'double y1(double)'
 _CRTIMP double __cdecl y1 (double);
                        ^~
"
s097072414,p02270,COMPILED_CLEAN,,"\processed\sources\p02270\C++\s097072414.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02270\C++\s097072414.cpp:21:20: warning: overflow in implicit constant conversion [-Woverflow]
     int l = 0, h = 10000000000;
                    ^~~~~~~~~~~
"
s384586515,p00292,FAILED,OTHER,"d\sources\p00292\C++\s384586515.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00292\C++\s384586515.cpp:9:45: error: 'b' was not declared in this scope
     else if(k%p!=0) int b=k%p;printf(""%d\n"",b);
                                             ^
"
s399040706,p03919,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03919\C++\s399040706.cpp:1:1: error: 'h' does not name a type
 h,w = map(int, input().split())
 ^
"
s174237209,p04052,COMPILED_CLEAN,,
s114592629,p03126,FAILED,OTHER,"p:610:78: fatal error: ext/pb_ds/detail/resize_policy/hash_standard_resize_policy_imp.hpp: No such file or directory
 #include <ext/pb_ds/detail/resize_policy/hash_standard_resize_policy_imp.hpp>
                                                                              ^
compilation terminated.
"
s506634703,p02549,FAILED,OTHER,"hub\transformer-defect-prediction\data\processed\sources\p02549\C++\s506634703.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02549\C++\s506634703.cpp:22:20: error: 'sort' was not declared in this scope
     sort(a, a + pos);
                    ^
"
s963980086,p02893,FAILED,OTHER,"s\p02893\C++\s963980086.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02893\C++\s963980086.cpp:37:26: error: 'class std::priority_queue<long long int>' has no member named 'front'
     long long a = yakusu.front();
                          ^~~~~
"
s693370901,p01315,COMPILED_CLEAN,,
s430415780,p02543,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02543\C++\s430415780.cpp:2:23: fatal error: atcoder/all: No such file or directory
 #include <atcoder/all>
                       ^
compilation terminated.
"
s850292420,p01672,FAILED,OTHER,"plate argument deduction/substitution failed:
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p01672\C++\s850292420.cpp:48:27: note:   'comp {aka std::complex<double>}' is not derived from 'const std::valarray<_Tp>'
 if (is_inv) zeta = 1.0l / zeta;
                           ^~~~
"
s036593238,p00886,FAILED,OTHER,"mer-defect-prediction\data\processed\sources\p00886\C++\s036593238.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00886\C++\s036593238.cpp:52:25: error: 'memset' was not declared in this scope
   memset(c, 0, sizeof(c));
                         ^
"
s815175670,p03469,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03469\C++\s815175670.cpp:9:1: error: expected declaration before '}' token
 }
 ^
"
s439408875,p02900,FAILED,OTHER,"3:5: note:   template argument deduction/substitution failed:
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02900\C++\s439408875.cpp:12:27: note:   mismatched types 'std::initializer_list<_Tp>' and 'long long int'
     for(ll i=2;i<min(c,MAX);i++){
                           ^
"
s461135173,p00706,FAILED,OTHER,"defect-prediction\data\processed\sources\p00706\C++\s461135173.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00706\C++\s461135173.cpp:12:27: error: 'memset' was not declared in this scope
     memset(f, 0, sizeof(f));
                           ^
"
s069570364,p00079,COMPILED_CLEAN,,
s051394076,p01706,COMPILED_CLEAN,,":46:41: warning: narrowing conversion of '(G[from].std::vector<_Tp, _Alloc>::size<edge, std::allocator<edge> >() - 1u)' from 'std::vector<edge>::size_type {aka unsigned int}' to 'int' inside { } [-Wnarrowing]
   G[to].push_back({from,0,G[from].size()-1});
                           ~~~~~~~~~~~~~~^~
"
s790295083,p04016,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p04016\C++\s790295083.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p04016\C++\s790295083.cpp:36:11: error: 'b' was not declared in this scope
  ll sqr=n/b;
           ^
"
s470653681,p03052,FAILED,OTHER,"653681.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03052\C++\s470653681.cpp:85:45: error: invalid types 'long long int[int]' for array subscript
     if(dp_tms[now][e]>=mod) dp_tms[now][j][k]-=mod;
                                             ^
"
s009194028,p03348,FAILED,OTHER,"d\sources\p03348\C++\s009194028.cpp:142:12: error: 'q' was not declared in this scope
     ll d = q.first;
            ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03348\C++\s009194028.cpp:143:12: error: 'p' was not declared in this scope
     ll u = p.second;
            ^
"
s324806016,p03589,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03589\C++\s324806016.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03589\C++\s324806016.cpp:9:2: error: expected ';' before 'h'
  h = (int)x+1;
  ^
"
s477503773,p02891,FAILED,OTHER,"ansformer-defect-prediction\data\processed\sources\p02891\C++\s477503773.cpp:83:9: error: expected ';' before '}' token
         }
         ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02891\C++\s477503773.cpp:91:9: error: expected ';' before '}' token
         }
         ^
"
s826249906,p03558,FAILED,OTHER,"cpp:40:12: error: 'done' was not declared in this scope
         if(done[p.F][p.S]){continue;}
            ^~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03558\C++\s826249906.cpp:41:9: error: 'done' was not declared in this scope
         done[p.F][p.S]=true;
         ^~~~
"
s639701190,p00676,COMPILED_CLEAN,,
s689186555,p01614,COMPILED_CLEAN,,
s385766266,p02126,COMPILED_CLEAN,,
s348398914,p03394,FAILED,OTHER,"fore ';' token
         printf(""%d\n"", (6-(n%6))*5;
                                   ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03394\C++\s348398914.cpp:32:35: error: expected ')' before ';' token
         printf(""%d\n"", (6-(n%6))*5;
                                   ^
"
s587036153,p02532,FAILED,OTHER,"\processed\sources\p02532\C++\s587036153.cpp:3:1: error: 'import' does not name a type
 import java.io.BufferedReader;
 ^~~~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02532\C++\s587036153.cpp:5:1: error: expected unqualified-id before 'public'
 public class Main{
 ^~~~~~
"
s652054697,p03004,FAILED,OTHER,"a type
       constexpr size_type
                 ^~~~~~~~~
c:\mingw\lib\gcc\mingw32\6.3.0\include\c++\initializer_list:47:11: fatal error: definition of std::initializer_list does not match #include <initializer_list>
     class initializer_list
           ^~~~~~~~~~~~~~~~
compilation terminated.
"
s847088919,p00120,FAILED,OTHER,"_Tp (&/*__array*/)[_Nm]) noexcept
     ^~~~
c:\mingw\lib\gcc\mingw32\6.3.0\include\c++\bits\range_access.h:242:5: note:                 template<class _Container> constexpr decltype (__cont.size()) std::size(const _Container&)
     size(const _Container& __cont) -> decltype(__cont.size())
     ^~~~
"
s440966444,p00087,FAILED,OTHER,"on\data\processed\sources\p00087\C++\s440966444.cpp:21:13: error: 'i' was not declared in this scope
             i--;
             ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00087\C++\s440966444.cpp:24:9: error: 'i' was not declared in this scope
         i++;
         ^
"
s912111578,p02725,COMPILED_CLEAN,,
s626624171,p03091,FAILED,OTHER,"data\processed\sources\p03091\C++\s626624171.cpp:13:3: error: 'count' was not declared in this scope
   count =0;
   ^~~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03091\C++\s626624171.cpp:19:9: error: expected '(' before '{' token
       if{a[i]>=6}{count+=3;}
         ^
"
s452397612,p01623,COMPILED_CLEAN,,
s527917407,p03835,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03835\C++\s527917407.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03835\C++\s527917407.cpp:11:3: error: expected ';' before '}' token
   }
   ^
"
s041164175,p01504,COMPILED_CLEAN,,
s709350553,p00554,FAILED,OTHER,"include\c++\bits\stl_algo.h:1177:5: note:   template argument deduction/substitution failed:
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00554\C++\s709350553.cpp:27:25: note:   couldn't deduce template parameter '_BIter'
   reverse(A.begin, A.end);
                         ^
"
s387745622,p03557,FAILED,OTHER,"t*' to 'int' [-fpermissive]
         int t = tt - b[0];
                 ~~~^~~~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03557\C++\s387745622.cpp:30:20: error: invalid conversion from 'int*' to 'int' [-fpermissive]
         int s = ss - c[0];
                 ~~~^~~~~~
"
s622643746,p04051,FAILED,OTHER,"D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p04051\C++\s622643746.cpp:1:1: error: expected unqualified-id before numeric constant
 123
 ^~~
"
s704520367,p02417,FAILED,OTHER,"tion\data\processed\sources\p02417\C++\s704520367.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02417\C++\s704520367.cpp:13:29: error: 'countCharacters' was not declared in this scope
  countCharacters(text, count);
                             ^
"
s729150426,p03631,FAILED,OTHER,"
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03631\C++\s729150426.cpp:8:5: error: expected '(' before 'a'
  if a=c{
     ^
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03631\C++\s729150426.cpp:11:2: error: 'else' without a previous 'if'
  else {
  ^~~~
"
s308485816,p02986,FAILED,OTHER,"former-defect-prediction\data\processed\sources\p02986\C++\s308485816.cpp:1:
c:\mingw\lib\gcc\mingw32\6.3.0\include\c++\bits\stl_pair.h:83:11: note: declaration of 'std::iterator_traits<std::tuple<int, int, int>*>::value_type {aka class std::tuple<int, int, int>}'
     class tuple;
           ^~~~~
"
s031205923,p02648,COMPILED_CLEAN,,
s556731070,p02371,FAILED,OTHER,".cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p02371\C++\s556731070.cpp:57:48: error: expected primary-expression before '>=' token
     for(int i = 0; i < N; i++) if(g[i].size()) >= 2) root = i;
                                                ^~
"
s608126418,p00297,COMPILED_CLEAN,,
s689079285,p01777,FAILED,OTHER,"                                        ^~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p01777\C++\s689079285.cpp: At global scope:
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p01777\C++\s689079285.cpp:120:3: error: expected ';' at end of input
   }
   ^
"
s096378286,p00254,COMPILED_CLEAN,,
s963403408,p01549,COMPILED_CLEAN,,
s442962781,p00147,FAILED,OTHER,"on\data\processed\sources\p00147\C++\s442962781.cpp:6:1: error: 'import' does not name a type
 import java.util.List;
 ^~~~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p00147\C++\s442962781.cpp:8:1: error: expected unqualified-id before 'public'
 public class Main {
 ^~~~~~
"
s404901639,p02775,COMPILED_CLEAN,,
s867760937,p03004,FAILED,OTHER,"defect-prediction\data\processed\sources\p03004\C++\s867760937.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03004\C++\s867760937.cpp:83:12: error: 't' was not declared in this scope
         if(t >= 0 && flag == 0){ // t=0ã�®ã�¨ã��
            ^
"
s200038435,p01839,FAILED,OTHER,"C++\s200038435.cpp:32:14: error: 'isok' was not declared in this scope
  if(acnt!=0) isok=false;
              ^~~~
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p01839\C++\s200038435.cpp:33:5: error: 'isok' was not declared in this scope
  if(isok) cout<<""YES""<<endl;
     ^~~~
"
s107747428,p03803,FAILED,OTHER,"ev\Github\transformer-defect-prediction\data\processed\sources\p03803\C++\s107747428.cpp: In function 'int main()':
D:\Dev\Github\transformer-defect-prediction\data\processed\sources\p03803\C++\s107747428.cpp:7:13: error: lvalue required as left operand of assignment
   if(a=1&&b=1){
             ^
"
